vintage_year,num_loans,total_upb,avg_pd,avg_lgd,total_el,default_rate,el_rate
2005,41986,7090921000,0.053636926594579144,0.33860648,129109135.43416163,0.053636926594579144,0.01820766800732396
2006,49393,8720946000,0.07978863401696597,0.41724515,285286921.74369836,0.07978863401696597,0.03271284121512716
2007,49995,9063610000,0.08916891689168917,0.42068005,328656703.2637615,0.08916891689168917,0.036261125893960744
2008,50189,10090353000,0.053577477136424315,0.3739791,194443733.81141302,0.053577477136424315,0.019270260793791162
2009,49862,10637584000,0.01277525971681842,0.27226427,36119365.33426352,0.01277525971681842,0.003395448189576084
2010,50240,10296074000,0.010230891719745222,0.25770423,27257820.705595348,0.010230891719745222,0.0026473994559086645
2011,49887,10197207000,0.008439072303405697,0.23303469,20097170.526531305,0.008439072303405697,0.0019708505011746162
2012,50265,10453282000,0.007318452203322391,0.20307697,15868811.209099611,0.007261513975927584,0.0015180697515956817
2013,49780,10045247000,0.006255865809562073,0.2066216,12429563.901169272,0.00620731217356368,0.0012373577176518677
2014,49941,10313680000,0.004503854548367073,0.18454917,7379018.427768377,0.00444524538955968,0.0007154593149844068
2015,50376,11257253000,0.0028493330157217723,0.13021909,3717788.289418589,0.0026996982690169922,0.00033025714971659506
2016,49728,11520541000,0.0022461188867438867,0.121479586,2752302.2506888476,0.002031048906048906,0.0002389039065690446
2017,50614,11711142000,0.0018890623147745683,0.12428129,2423524.9620491876,0.0017386493855455012,0.0002069418133645026
2018,49928,11629533000,0.0018500640922929018,0.12962385,2408699.8694132427,0.001602307322544464,0.00020711922563126505
2019,49815,12363693000,0.001213208872829469,0.13066202,1790340.1828052744,0.000742748168222423,0.00014480626320997086
2020,49774,14007163000,0.001,0.14198895,1927975.3160769856,0.00034154377787599954,0.0001376420989801422
2021,50266,14542734000,0.0010352524569291368,0.13486962,1997854.2367624806,0.00023872995663072456,0.00013737817364757414
2022,50016,14874844000,0.0010530230326295585,0.18412168,2824519.9648201647,0.0006997760716570698,0.00018988568652015205
2023,50239,15574912000,0.0010246621150898705,0.35832316,5558852.167087929,0.00039809709588168555,0.00035691066293587595
2024,50182,16804499000,0.001,0.3749912,6211144.575092691,9.963732015463712e-05,0.0003696120053976433
2025,45024,15621029000,0.001,0.36010727,5587741.358127758,0.0,0.0003577063558442762
